t_s,temp,setpoint,heat,cool,err,err_remain_ms,db_remain_ms
0.1,20.0,50.0,0,0,0,0,500
0.2,20.0,50.0,0,0,0,0,400
0.3,20.0,50.0,0,0,0,0,300
0.4,20.0,50.0,0,0,0,0,200
0.5,20.0,50.0,0,0,0,0,100
0.6,20.8,50.0,1,0,0,0,0
0.7,21.6,50.0,1,0,0,0,0
0.8,22.39,50.0,1,0,0,0,0
0.9,23.18,50.0,1,0,0,0,0
1.0,23.96,50.0,1,0,0,0,0
1.1,24.74,50.0,1,0,0,0,0
1.2,25.52,50.0,1,0,0,0,0
1.3,26.29,50.0,1,0,0,0,0
1.4,27.06,50.0,1,0,0,0,0
1.5,27.82,50.0,1,0,0,0,0
1.6,28.58,50.0,1,0,0,0,0
1.7,29.34,50.0,1,0,0,0,0
1.8,30.09,50.0,1,0,0,0,0
1.9,30.84,50.0,1,0,0,0,0
2.0,31.59,50.0,1,0,0,0,0
2.1,32.33,50.0,1,0,0,0,0
2.2,33.07,50.0,1,0,0,0,0
2.3,33.8,50.0,1,0,0,0,0
2.4,34.53,50.0,1,0,0,0,0
2.5,35.26,50.0,1,0,0,0,0
2.6,35.99,50.0,1,0,0,0,0
2.7,36.71,50.0,1,0,0,0,0
2.8,37.42,50.0,1,0,0,0,0
2.9,38.14,50.0,1,0,0,0,0
3.0,38.84,50.0,1,0,0,0,0
3.1,39.55,50.0,1,0,0,0,0
3.2,40.25,50.0,1,0,0,0,0
3.3,40.95,50.0,1,0,0,0,0
3.4,41.65,50.0,1,0,0,0,0
3.5,42.34,50.0,1,0,0,0,0
3.6,43.03,50.0,1,0,0,0,0
3.7,43.71,50.0,1,0,0,0,0
3.8,44.39,50.0,1,0,0,0,0
3.9,45.07,50.0,1,0,0,0,0
4.0,45.75,50.0,1,0,0,0,0
4.1,46.42,50.0,1,0,0,0,0
4.2,47.09,50.0,1,0,0,0,0
4.3,47.75,50.0,1,0,0,0,0
4.4,48.41,50.0,1,0,0,0,0
4.5,49.07,50.0,1,0,0,0,0
4.6,49.72,50.0,1,0,0,0,0
4.7,50.37,50.0,1,0,0,0,0
4.8,50.22,50.0,0,0,0,0,0
4.9,50.07,50.0,0,0,0,0,0
5.0,49.92,50.0,0,0,0,0,0
5.1,49.77,50.0,0,0,0,0,0
5.2,49.62,50.0,0,0,0,0,0
5.3,49.47,50.0,0,0,0,0,0
5.4,49.33,50.0,0,0,0,0,0
5.5,49.18,50.0,0,0,0,0,0
5.6,49.03,50.0,0,0,0,0,0
5.7,48.89,50.0,0,0,0,0,0
5.8,48.75,50.0,0,0,0,0,0
5.9,48.6,50.0,0,0,0,0,0
6.0,48.46,50.0,0,0,0,0,0
6.1,48.32,50.0,0,0,0,0,0
6.2,48.17,50.0,0,0,0,0,0
6.3,48.03,50.0,0,0,0,0,0
6.4,47.89,50.0,0,0,0,0,0
6.5,47.75,50.0,0,0,0,0,0
6.6,47.62,50.0,0,0,0,0,0
6.7,47.48,50.0,0,0,0,0,0
6.8,47.34,50.0,0,0,0,0,0
6.9,47.2,50.0,0,0,0,0,0
7.0,47.07,50.0,0,0,0,0,0
7.1,46.93,50.0,0,0,0,0,0
7.2,46.8,50.0,0,0,0,0,0
7.3,46.66,50.0,0,0,0,0,0
7.4,46.53,50.0,0,0,0,0,0
7.5,46.4,50.0,0,0,0,0,0
7.6,46.27,50.0,0,0,0,0,0
7.7,46.13,50.0,0,0,0,0,0
7.8,46.0,50.0,0,0,0,0,0
7.9,45.87,50.0,0,0,0,0,0
8.0,45.74,50.0,0,0,0,0,0
8.1,45.62,50.0,0,0,0,0,0
8.2,45.49,50.0,0,0,0,0,0
8.3,45.36,50.0,0,0,0,0,0
8.4,45.23,50.0,0,0,0,0,0
8.5,45.11,50.0,0,0,0,0,0
8.6,44.98,50.0,0,0,0,0,0
8.7,44.86,50.0,0,0,0,0,500
8.8,44.73,50.0,0,0,0,0,400
8.9,44.61,50.0,0,0,0,0,300
9.0,44.49,50.0,0,0,0,0,200
9.1,44.36,50.0,0,0,0,0,100
9.2,45.04,50.0,1,0,0,0,0
9.3,45.72,50.0,1,0,0,0,0
9.4,46.39,50.0,1,0,0,0,0
9.5,47.06,50.0,1,0,0,0,0
9.6,47.72,50.0,1,0,0,0,0
9.7,48.38,50.0,1,0,0,0,0
9.8,49.04,50.0,1,0,0,0,0
9.9,49.69,50.0,1,0,0,0,0
10.0,50.35,50.0,1,0,0,0,0
10.1,50.19,50.0,0,0,0,0,0
10.2,50.04,50.0,0,0,0,0,0
10.3,49.89,50.0,0,0,0,0,0
10.4,49.74,50.0,0,0,0,0,0
10.5,49.59,50.0,0,0,0,0,0
10.6,49.45,50.0,0,0,0,0,0
10.7,49.3,50.0,0,0,0,0,0
10.8,49.15,50.0,0,0,0,0,0
10.9,49.01,50.0,0,0,0,0,0
11.0,48.86,50.0,0,0,0,0,0
11.1,48.72,50.0,0,0,0,0,0
11.2,48.57,50.0,0,0,0,0,0
11.3,48.43,50.0,0,0,0,0,0
11.4,48.29,50.0,0,0,0,0,0
11.5,48.15,50.0,0,0,0,0,0
11.6,48.01,50.0,0,0,0,0,0
11.7,47.87,50.0,0,0,0,0,0
11.8,47.73,50.0,0,0,0,0,0
11.9,47.59,50.0,0,0,0,0,0
12.0,47.45,50.0,0,0,0,0,0
12.1,47.31,50.0,0,0,0,0,0
12.2,47.18,50.0,0,0,0,0,0
12.3,47.04,50.0,0,0,0,0,0
12.4,46.91,50.0,0,0,0,0,0
12.5,46.77,50.0,0,0,0,0,0
12.6,46.64,50.0,0,0,0,0,0
